,state,action,reward,next_state,done
23,00001000000000100000000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,2,1,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001110000000010000000000000000000000000001000000001100000000110000000011011100001001000000,False
24,00001000000000100000000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,2,1,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001110000000010000000000000000001000000001100000000110000000011011100001001000000,False
25,00001000000000100000000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,2,1,00001000000000100000000110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001110000000010000000001000000001100000000110000000011011100001001000000,False
26,00001000000000100000000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1,1,00000000000000010000000001000000001100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001110000000010000000001000000001100000000110000000011011100001001000000,False
27,00001000000000100000000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,1,00000000000000000000000001000000000100000000110000000000000000000000000000000000000000000000000000000000000000000000000000000000001110000000010000000001000000001100000000110000000011011100001001000000,False
28,00001000000000100000000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,2,1,00000000000000000000000000000000001000000000100000000110000000000000000000000000000000000000000000000000000000000000000000000000001110000000010000000001000000001100000000110000000011011100001001000000,False
29,00001000000000100000000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,1,00000000000000000000000000000000000000000000100000000010000000011000000000000000000000000000000000000000000000000000000000000000001110000000010000000001000000001100000000110000000011011100001001000000,False
30,00001000000000100000000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,2,1,00000000000000000000000000000000000000000000000000000100000000010000000011000000000000000000000000000000000000000000000000000000001110000000010000000001000000001100000000110000000011011100001001000000,False
31,00001000000000100000000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,1,00000000000000000000000000000000000000000000000000000000000000010000000001000000001100000000000000000000000000000000000000000000001110000000010000000001000000001100000000110000000011011100001001000000,False
32,00001000000000100000000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,2,1,00000000000000000000000000000000000000000000000000000000000000000000000010000000001000000001100000000000000000000000000000000000001110000000010000000001000000001100000000110000000011011100001001000000,False
33,00001000000000100000000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,2,1,00000000000000000000000000000000000000000000000000000000000000000000000000000000010000000001000000001100000000000000000000000000001110000000010000000001000000001100000000110000000011011100001001000000,False
34,00001000000000100000000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,1,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000100000000110000000000000000001110000000010000000001000000001100000000110000000011011100001001000000,False
35,00001000000000100000000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,1,00111100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000010000000011000000001110000000010000000001000000001100000000110000000011011100001001000000,False
36,00001000000000100000000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1,1,00000000000001111000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000010000000011000000001110000000010000000001000000001100000000110000000011011100001001000000,False
37,00001000000000100000000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1,1,00000000000000000000000011110000000000000000000000000000000000000000000000000000000000000000000000000100000000010000000011000000001110000000010000000001000000001100000000110000000011011100001001000000,False
38,00001000000000100000000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,1,00000000000000000000000000000000001111000000000000000000000000000000000000000000000000000000000000000100000000010000000011000000001110000000010000000001000000001100000000110000000011011100001001000000,False
39,00001000000000100000000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,1,00000000000000000000000000000000000000000000111100000000000000000000000000000000000000000000000000000100000000010000000011000000001110000000010000000001000000001100000000110000000011011100001001000000,False
40,00001000000000100000000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,1,00000000000000000000000000000000000000000000000000000011110000000000000000000000000000000000000000000100000000010000000011000000001110000000010000000001000000001100000000110000000011011100001001000000,False
41,00001000000000100000000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,2,1,00000000000000000000000000000000000000000000000000000000000000011110000000000000000000000000000000000100000000010000000011000000001110000000010000000001000000001100000000110000000011011100001001000000,False
42,00001000000000100000000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,2,1,00000000000000000000000000000000000000000000000000000000000000000000000011110000000000000000000000000100000000010000000011000000001110000000010000000001000000001100000000110000000011011100001001000000,False
43,00001000000000100000000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,1,00000000000000000000000000000000000000000000000000000000000000000000000000000000001111000000000000000100000000010000000011000000001110000000010000000001000000001100000000110000000011011100001001000000,False
44,00001000000000100000000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,1,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111100000100000000010000000011000000001110000000010000000001000000001100000000110000000011011100001001000000,False
45,00001000000000100000000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,2,1,00011100000000010000000000000000000000000000000000000000000000000000000000000000000000000001111000000100000000010000000011000000001110000000010000000001000000001100000000110000000011011100001001000000,False
46,00001000000000100000000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1,1,00000000000000111000000000100000000000000000000000000000000000000000000000000000000000000001111000000100000000010000000011000000001110000000010000000001000000001100000000110000000011011100001001000000,False
47,00001000000000100000000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,1,00000000000000000000000011100000000010000000000000000000000000000000000000000000000000000001111000000100000000010000000011000000001110000000010000000001000000001100000000110000000011011100001001000000,False
